id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
1865983,2021-01-19,Yeni tikili,11 / 18,60 m²,1,yoxdur,102 000AZN,vasitəçi (agent),"TECILI SATILIR !!! Xetai metrosunun yaxinliginda yeni tikilmis 18 mertebeli binanin 11-ci mertebesinde 1 otaqli temirsiz (podmayak) menzil satilir . Binanin Qazi , suyu , isiqi daimidir . Etrafli melumat ucun elaqe saxlaya bilersiniz .",25,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
1848535,2021-01-19,Yeni tikili,9 / 12,68 m²,2,var,88 000AZN,vasitəçi (agent),Yeni Yasamal Beyaz Marketin yaninda qanuni senedle 2 otaqli menzil satilir.Qaz su isiq daimi tam yasayisli bina.Alan sexs cixarisi oz adina ala bilecek.Ofisin xidmet haqqi 1%,18,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,
1865982,2021-01-19,Yeni tikili,14 / 17,135 m²,3,yoxdur,229 000AZN,vasitəçi (agent),"28 MAY M/ST.; ""TEZE BAZAR"" YANINDA 7 POINTS""-IN INSA ETDIYI YENI TIKILI 17 mertebeli  bianin 14-cu mertebesinde 135 kv 3 otaqli(RADNOY), 4 OTAGA PEREDELKA IMKANI olan PODMAYAK menzil satilir, SEHERE PANORAMALIDIR!!

QIYMET: 229.000 AZN, ENDIRIM OLUNACAQ!!

1% XIDMETHAAQI ALINACAQ!! ",33,"Qış parkı 
"," Sirk 
"," Bakı Musiqi Akademiyası 
"," Azərbaycan Dillər Universiteti 
"," Nəsimi r.
",,,
1865980,2021-01-19,Köhnə tikili,1 / 9,120 m²,5,var,97 000AZN,mülkiyyətçi,Qiymet sondu. Menzil tecili satilir,18,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,
1863491,2021-01-19,Yeni tikili,8 / 16,61 m²,1,var,106 000AZN,vasitəçi (agent),"TECILI SATILIR !!! Xetai metrosunun yaninda yeni tikilmis 16 mertebeli binanin 8-ci mertebesinde 1 otaqli yaxsi temirli menzil satilir . Bina tam yasayisli ve QAZLI+KUPCALI-dir . Genis usaq meydancasi , yeralti ve yerustu avto dayanacagi , 24 saat muhafize xidmeti var . Etrafli melumat ucun elaqe saxlaya bilersiniz .",25,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
1865977,2021-01-19,Köhnə tikili,2 / 2,115 m²,4,var,174 000AZN,vasitəçi (agent),"Mərkəzdə ""Torqovı"" Şaurma 1-ə yaxın ümumi sahəsi sənədlə 100 kv-m,faktiki 115 kv-m-dir.giriş blokdandır,Sənədləri qaydasındadır.",15,"Nizami kinoteatrı 
"," Sahil m.
"," Fontanlar bağı 
"," Malokan bağı 
"," Xalça Muzeyi 
"," Səbail r.
",,
1862603,2021-01-19,Yeni tikili,12 / 20,95 m²,3,var,240 000AZN,vasitəçi (agent),"Ali mehkemenin yaninda yeni tikilmis (ALYANS MTK-da) 20 mertebeli binanin 12-ci mertebesinde 3 otaqa duzeldilmis əla təmirli menzil satilir . Bina tam yasayisli ve QAZLI+KUPCALI-dir . Binanin genis usaq meydancasi yeralti ve yerustu avto dayanacagi , 24 saat muhafize xidmeti var . Menzil butun mebellerle birlikde satilir . Etrafli melumat ucun elaqe saxlaya bilersiniz .",20,"Şah İsmayıl Xətai m.
"," Cavanşir körpüsü 
"," Xətai r.
",,,,,
1865976,2021-01-19,Köhnə tikili,1 / 9,80 m²,3,var,96 000AZN,vasitəçi (agent),"Bakı şəhəri Suraxanı rayonu Köhnə Günəşli qəsəbəsində Şıxlinski küçəsində LENİNQRAD layihəli 9 mərtəbəli binanın 1-ci mərtəbəsində sahəsi 80 kv.m. 3 otaqlı təmirli mənzil satılır. Mənzil yelçəkəndir, mərkəzi istilik sistemi ilə qızdırılır, şəhərə gözəl panoraması var. Real alıcıya endirim olacaq. Bina məktəbə, bağçaya, avtobus dayanacağına, alış-veriş mərkəzinə, istirahət parkına yaxın yerdə yerləşir. Əlavə məlumat almaq üçün əlaqə saxlaya bilərsiniz. Satışda və icarə üçün hər cür mənzillər, bağ-həyət evləri, villalar və obyektlər var!!!",24,"Xətai r.
"," Köhnə Günəşli q.
",,,,,,
1865974,2021-01-19,Yeni tikili,5 / 16,137 m²,3,var,190 000AZN,vasitəçi (agent),"TECILI SATILIR !!! Xetai metrosunun yaninda yeni tikilmis 16 mertebeli binanin 5-ci mertebesinde 3 otaqli temirsiz (podmayak) menzil satilir . Bina tam yasayisli ve QAZLI+KUPCALI-dir . Genis usaq meydancasi , yeralti ve yerustu avto dayanacagi , 24 saat muhafize xidmeti var . Etrafli melumat ucun elaqe saxlaya bilersiniz .",28,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
1865071,2021-01-19,Yeni tikili,4 / 16,279 m²,5,var,1 100 000AZN,vasitəçi (agent),"ATKİNS şirkəti tərəfindən inşa edilmiş, PREMİUM səviyyəli “CLOCK TOWER”
yaşayış komleksində 16/4 279 kv.m 5 otaqli tam temirli mənzil QARAJLA satılır. Menzil Butun esyalari ile birlikde satilir. Kompleks Bakıxanov kücəsində, Rusiya səfirliyi ilə üzbəüz yerləşir, 24 saat mühafizə olunur, videoizləmə sistemi, FİTNESS, yüksək səviyyəli, yeraltı parkinq, geniş daxili həyət və uşaq meydançasına malikdir.
Mənzilə aid yeraltı QARAJ var",18,"Sevil Qazıyeva parkı 
"," Rusiya səfirliyi 
"," M.Hüseynzadə parkı 
"," Nəsimi r.
",,,,
